Codigo;Provincias;Periodo;Total
09;Burgos;2021;950
09;Burgos;2020;514
09;Burgos;2019;1051
09;Burgos;2018;1050
09;Burgos;2017;1129
09;Burgos;2016;1082
09;Burgos;2015;1098
09;Burgos;2014;1043
09;Burgos;2013;1047
09;Burgos;2012;1192
09;Burgos;2011;1137
09;Burgos;2010;1287
09;Burgos;2009;1245
09;Burgos;2008;1365
09;Burgos;2007;1447
09;Burgos;2006;1407
09;Burgos;2005;1430
09;Burgos;2004;1596
09;Burgos;2003;1635
09;Burgos;2002;1540
09;Burgos;2001;1388
09;Burgos;2000;1556
09;Burgos;1999;1402
09;Burgos;1998;1497
09;Burgos;1997;1427
09;Burgos;1996;1443
09;Burgos;1995;1535
09;Burgos;1994;1538
09;Burgos;1993;1433
09;Burgos;1992;1669
09;Burgos;1991;1594
09;Burgos;1990;1533
09;Burgos;1989;1652
09;Burgos;1988;1663
09;Burgos;1987;1677
09;Burgos;1986;1711
09;Burgos;1985;1682
09;Burgos;1984;1632
09;Burgos;1983;1737
09;Burgos;1982;1597
09;Burgos;1981;1682
09;Burgos;1980;1805
09;Burgos;1979;1902
09;Burgos;1978;2122
09;Burgos;1977;2078
09;Burgos;1976;2007
09;Burgos;1975;2463
10;Cáceres;2021;951
10;Cáceres;2020;552
10;Cáceres;2019;1112
10;Cáceres;2018;1110
10;Cáceres;2017;1159
10;Cáceres;2016;1274
10;Cáceres;2015;1172
10;Cáceres;2014;1138
10;Cáceres;2013;1066
10;Cáceres;2012;1192
10;Cáceres;2011;1143
10;Cáceres;2010;1167
10;Cáceres;2009;1346
10;Cáceres;2008;1481
10;Cáceres;2007;1527
10;Cáceres;2006;1588
10;Cáceres;2005;1537
10;Cáceres;2004;1678
10;Cáceres;2003;1677
10;Cáceres;2002;1631
10;Cáceres;2001;1673
10;Cáceres;2000;1926
10;Cáceres;1999;1854
10;Cáceres;1998;1818
10;Cáceres;1997;1827
10;Cáceres;1996;1795
10;Cáceres;1995;1749
10;Cáceres;1994;1920
10;Cáceres;1993;1945
10;Cáceres;1992;2165
10;Cáceres;1991;2125
10;Cáceres;1990;2246
10;Cáceres;1989;2270
10;Cáceres;1988;2313
10;Cáceres;1987;2499
10;Cáceres;1986;2476
10;Cáceres;1985;2318
10;Cáceres;1984;2467
10;Cáceres;1983;2411
10;Cáceres;1982;2356
10;Cáceres;1981;2459
10;Cáceres;1980;2511
10;Cáceres;1979;2649
10;Cáceres;1978;2519
10;Cáceres;1977;2542
10;Cáceres;1976;2345
10;Cáceres;1975;2252
11;Cádiz;2021;4221
11;Cádiz;2020;2408
11;Cádiz;2019;4900
11;Cádiz;2018;4446
11;Cádiz;2017;4708
11;Cádiz;2016;4703
11;Cádiz;2015;4573
11;Cádiz;2014;4251
11;Cádiz;2013;3911
11;Cádiz;2012;4383
11;Cádiz;2011;4054
11;Cádiz;2010;4263
11;Cádiz;2009;4635
11;Cádiz;2008;5587
11;Cádiz;2007;5892
11;Cádiz;2006;6253
11;Cádiz;2005;6728
11;Cádiz;2004;6779
11;Cádiz;2003;6604
11;Cádiz;2002;6521
11;Cádiz;2001;6360
11;Cádiz;2000;6519
11;Cádiz;1999;6105
11;Cádiz;1998;5819
11;Cádiz;1997;5596
11;Cádiz;1996;5587
11;Cádiz;1995;5835
11;Cádiz;1994;5827
11;Cádiz;1993;5582
11;Cádiz;1992;6332
11;Cádiz;1991;6614
11;Cádiz;1990;6848
11;Cádiz;1989;6614
11;Cádiz;1988;6443
11;Cádiz;1987;6659
11;Cádiz;1986;6561
11;Cádiz;1985;6139
11;Cádiz;1984;6316
11;Cádiz;1983;6550
11;Cádiz;1982;6207
11;Cádiz;1981;6655
11;Cádiz;1980;6992
11;Cádiz;1979;7176
11;Cádiz;1978;7581
11;Cádiz;1977;7474
11;Cádiz;1976;7359
11;Cádiz;1975;7202
39;Cantabria;2021;1836
39;Cantabria;2020;1111
39;Cantabria;2019;1951
39;Cantabria;2018;2067
39;Cantabria;2017;2079
39;Cantabria;2016;2228
39;Cantabria;2015;2124
39;Cantabria;2014;2069
39;Cantabria;2013;1936
39;Cantabria;2012;2326
39;Cantabria;2011;2184
39;Cantabria;2010;2500
39;Cantabria;2009;2581
39;Cantabria;2008;2936
39;Cantabria;2007;2948
39;Cantabria;2006;2822
39;Cantabria;2005;2876
39;Cantabria;2004;2902
39;Cantabria;2003;2864
39;Cantabria;2002;2897
39;Cantabria;2001;2742
39;Cantabria;2000;2728
39;Cantabria;1999;2611
39;Cantabria;1998;2521
39;Cantabria;1997;2353
39;Cantabria;1996;2369
39;Cantabria;1995;2266
39;Cantabria;1994;2302
39;Cantabria;1993;2310
39;Cantabria;1992;2572
39;Cantabria;1991;2530
39;Cantabria;1990;2694
39;Cantabria;1989;2692
39;Cantabria;1988;2665
39;Cantabria;1987;2496
39;Cantabria;1986;2570
39;Cantabria;1985;2605
39;Cantabria;1984;2796
39;Cantabria;1983;2807
39;Cantabria;1982;2931
39;Cantabria;1981;2950
39;Cantabria;1980;3255
39;Cantabria;1979;3472
39;Cantabria;1978;3703
39;Cantabria;1977;3924
39;Cantabria;1976;3733
39;Cantabria;1975;3767
12;Castellón/Castelló;2021;1843
12;Castellón/Castelló;2020;1123
12;Castellón/Castelló;2019;2029
12;Castellón/Castelló;2018;1892
12;Castellón/Castelló;2017;2022
12;Castellón/Castelló;2016;2007
12;Castellón/Castelló;2015;1992
12;Castellón/Castelló;2014;1922
12;Castellón/Castelló;2013;1763
12;Castellón/Castelló;2012;1880
12;Castellón/Castelló;2011;1805
12;Castellón/Castelló;2010;2037
12;Castellón/Castelló;2009;2135
12;Castellón/Castelló;2008;2484
12;Castellón/Castelló;2007;2695
12;Castellón/Castelló;2006;2638
12;Castellón/Castelló;2005;2708
12;Castellón/Castelló;2004;2814
12;Castellón/Castelló;2003;2863
12;Castellón/Castelló;2002;2784
12;Castellón/Castelló;2001;2672
12;Castellón/Castelló;2000;2865
12;Castellón/Castelló;1999;2614
12;Castellón/Castelló;1998;2640
12;Castellón/Castelló;1997;2359
12;Castellón/Castelló;1996;2514
12;Castellón/Castelló;1995;2492
12;Castellón/Castelló;1994;2482
12;Castellón/Castelló;1993;2347
12;Castellón/Castelló;1992;2613
12;Castellón/Castelló;1991;2531
12;Castellón/Castelló;1990;2481
12;Castellón/Castelló;1989;2622
12;Castellón/Castelló;1988;2533
12;Castellón/Castelló;1987;2512
12;Castellón/Castelló;1986;2417
12;Castellón/Castelló;1985;2288
12;Castellón/Castelló;1984;2466
12;Castellón/Castelló;1983;2407
12;Castellón/Castelló;1982;2484
12;Castellón/Castelló;1981;2421
12;Castellón/Castelló;1980;2248
12;Castellón/Castelló;1979;2836
12;Castellón/Castelló;1978;2990
12;Castellón/Castelló;1977;2909
12;Castellón/Castelló;1976;2841
12;Castellón/Castelló;1975;3105
13;Ciudad Real;2021;1478
13;Ciudad Real;2020;654
13;Ciudad Real;2019;1643
13;Ciudad Real;2018;1698
13;Ciudad Real;2017;1659
13;Ciudad Real;2016;1722
13;Ciudad Real;2015;1651
13;Ciudad Real;2014;1557
13;Ciudad Real;2013;1527
13;Ciudad Real;2012;1731
13;Ciudad Real;2011;1633
13;Ciudad Real;2010;1748
13;Ciudad Real;2009;1918
13;Ciudad Real;2008;2228
13;Ciudad Real;2007;2321
13;Ciudad Real;2006;2257
13;Ciudad Real;2005;2330
13;Ciudad Real;2004;2309
13;Ciudad Real;2003;2218
13;Ciudad Real;2002;2192
13;Ciudad Real;2001;2290
13;Ciudad Real;2000;2391
13;Ciudad Real;1999;2262
13;Ciudad Real;1998;2281
13;Ciudad Real;1997;2189
