Codigo;Provincias;Sexo;Periodo;Total
04;Almería;Total;1998;5707
04;Almería;Total;1997;5721
04;Almería;Total;1996;5630
04;Almería;Total;1995;5687
04;Almería;Total;1994;5657
04;Almería;Total;1993;5933
04;Almería;Total;1992;6140
04;Almería;Total;1991;6132
04;Almería;Total;1990;6459
04;Almería;Total;1989;6307
04;Almería;Total;1988;6497
04;Almería;Total;1987;6514
04;Almería;Total;1986;6380
04;Almería;Total;1985;6547
04;Almería;Total;1984;6841
04;Almería;Total;1983;7096
04;Almería;Total;1982;7166
04;Almería;Total;1981;7392
04;Almería;Total;1980;7683
04;Almería;Total;1979;7796
04;Almería;Total;1978;7919
04;Almería;Total;1977;7964
04;Almería;Total;1976;8262
04;Almería;Total;1975;7774
04;Almería;Hombres;2021;3519
04;Almería;Hombres;2020;3580
04;Almería;Hombres;2019;3701
04;Almería;Hombres;2018;3885
04;Almería;Hombres;2017;3847
04;Almería;Hombres;2016;3933
04;Almería;Hombres;2015;4100
04;Almería;Hombres;2014;4041
04;Almería;Hombres;2013;4023
04;Almería;Hombres;2012;4117
04;Almería;Hombres;2011;4212
04;Almería;Hombres;2010;4373
04;Almería;Hombres;2009;4377
04;Almería;Hombres;2008;4699
04;Almería;Hombres;2007;4373
04;Almería;Hombres;2006;4257
04;Almería;Hombres;2005;4034
04;Almería;Hombres;2004;3875
04;Almería;Hombres;2003;3598
04;Almería;Hombres;2002;3266
04;Almería;Hombres;2001;3366
04;Almería;Hombres;2000;3144
04;Almería;Hombres;1999;3218
04;Almería;Hombres;1998;2986
04;Almería;Hombres;1997;3021
04;Almería;Hombres;1996;2914
04;Almería;Hombres;1995;2905
04;Almería;Hombres;1994;2965
04;Almería;Hombres;1993;3060
04;Almería;Hombres;1992;3207
04;Almería;Hombres;1991;3179
04;Almería;Hombres;1990;3378
04;Almería;Hombres;1989;3410
04;Almería;Hombres;1988;3418
04;Almería;Hombres;1987;3441
04;Almería;Hombres;1986;3281
04;Almería;Hombres;1985;3383
04;Almería;Hombres;1984;3489
04;Almería;Hombres;1983;3682
04;Almería;Hombres;1982;3636
04;Almería;Hombres;1981;3771
04;Almería;Hombres;1980;3943
04;Almería;Hombres;1979;4034
04;Almería;Hombres;1978;4066
04;Almería;Hombres;1977;4188
04;Almería;Hombres;1976;4273
04;Almería;Hombres;1975;4058
04;Almería;Mujeres;2021;3369
04;Almería;Mujeres;2020;3294
04;Almería;Mujeres;2019;3586
04;Almería;Mujeres;2018;3532
04;Almería;Mujeres;2017;3715
04;Almería;Mujeres;2016;3883
04;Almería;Mujeres;2015;3837
04;Almería;Mujeres;2014;3818
04;Almería;Mujeres;2013;3747
04;Almería;Mujeres;2012;3858
04;Almería;Mujeres;2011;4087
04;Almería;Mujeres;2010;4139
04;Almería;Mujeres;2009;4095
04;Almería;Mujeres;2008;4436
04;Almería;Mujeres;2007;4102
04;Almería;Mujeres;2006;4168
04;Almería;Mujeres;2005;3795
04;Almería;Mujeres;2004;3630
04;Almería;Mujeres;2003;3376
04;Almería;Mujeres;2002;3218
04;Almería;Mujeres;2001;3130
04;Almería;Mujeres;2000;2930
04;Almería;Mujeres;1999;2898
04;Almería;Mujeres;1998;2721
04;Almería;Mujeres;1997;2700
04;Almería;Mujeres;1996;2716
04;Almería;Mujeres;1995;2782
04;Almería;Mujeres;1994;2692
04;Almería;Mujeres;1993;2873
04;Almería;Mujeres;1992;2933
04;Almería;Mujeres;1991;2953
04;Almería;Mujeres;1990;3081
04;Almería;Mujeres;1989;2897
04;Almería;Mujeres;1988;3079
04;Almería;Mujeres;1987;3073
04;Almería;Mujeres;1986;3099
04;Almería;Mujeres;1985;3164
04;Almería;Mujeres;1984;3352
04;Almería;Mujeres;1983;3414
04;Almería;Mujeres;1982;3530
04;Almería;Mujeres;1981;3621
04;Almería;Mujeres;1980;3740
04;Almería;Mujeres;1979;3762
04;Almería;Mujeres;1978;3853
04;Almería;Mujeres;1977;3776
04;Almería;Mujeres;1976;3989
04;Almería;Mujeres;1975;3716
01;Álava/Araba;Total;2021;2369
01;Álava/Araba;Total;2020;2398
01;Álava/Araba;Total;2019;2568
01;Álava/Araba;Total;2018;2683
01;Álava/Araba;Total;2017;2962
01;Álava/Araba;Total;2016;3074
01;Álava/Araba;Total;2015;3158
01;Álava/Araba;Total;2014;3277
01;Álava/Araba;Total;2013;3099
01;Álava/Araba;Total;2012;3293
01;Álava/Araba;Total;2011;3427
01;Álava/Araba;Total;2010;3348
01;Álava/Araba;Total;2009;3222
01;Álava/Araba;Total;2008;3210
01;Álava/Araba;Total;2007;3033
01;Álava/Araba;Total;2006;2917
01;Álava/Araba;Total;2005;2791
01;Álava/Araba;Total;2004;2810
01;Álava/Araba;Total;2003;2693
01;Álava/Araba;Total;2002;2491
01;Álava/Araba;Total;2001;2435
01;Álava/Araba;Total;2000;2486
01;Álava/Araba;Total;1999;2322
01;Álava/Araba;Total;1998;2249
01;Álava/Araba;Total;1997;2226
01;Álava/Araba;Total;1996;2248
01;Álava/Araba;Total;1995;2083
01;Álava/Araba;Total;1994;2022
01;Álava/Araba;Total;1993;2261
01;Álava/Araba;Total;1992;2244
01;Álava/Araba;Total;1991;2291
01;Álava/Araba;Total;1990;2324
01;Álava/Araba;Total;1989;2419
01;Álava/Araba;Total;1988;2623
01;Álava/Araba;Total;1987;2604
01;Álava/Araba;Total;1986;2728
01;Álava/Araba;Total;1985;3008
01;Álava/Araba;Total;1984;3108
01;Álava/Araba;Total;1983;3374
01;Álava/Araba;Total;1982;3436
01;Álava/Araba;Total;1981;3710
01;Álava/Araba;Total;1980;3917
01;Álava/Araba;Total;1979;4163
01;Álava/Araba;Total;1978;4560
01;Álava/Araba;Total;1977;4634
01;Álava/Araba;Total;1976;4809
01;Álava/Araba;Total;1975;4833
01;Álava/Araba;Hombres;2021;1237
01;Álava/Araba;Hombres;2020;1238
01;Álava/Araba;Hombres;2019;1312
01;Álava/Araba;Hombres;2018;1386
01;Álava/Araba;Hombres;2017;1498
01;Álava/Araba;Hombres;2016;1546
01;Álava/Araba;Hombres;2015;1635
01;Álava/Araba;Hombres;2014;1676
01;Álava/Araba;Hombres;2013;1618
01;Álava/Araba;Hombres;2012;1740
01;Álava/Araba;Hombres;2011;1742
01;Álava/Araba;Hombres;2010;1740
01;Álava/Araba;Hombres;2009;1685
01;Álava/Araba;Hombres;2008;1676
01;Álava/Araba;Hombres;2007;1520
01;Álava/Araba;Hombres;2006;1523
01;Álava/Araba;Hombres;2005;1405
01;Álava/Araba;Hombres;2004;1452
01;Álava/Araba;Hombres;2003;1390
01;Álava/Araba;Hombres;2002;1276
01;Álava/Araba;Hombres;2001;1231
01;Álava/Araba;Hombres;2000;1283
01;Álava/Araba;Hombres;1999;1137
01;Álava/Araba;Hombres;1998;1137
01;Álava/Araba;Hombres;1997;1141
01;Álava/Araba;Hombres;1996;1175
01;Álava/Araba;Hombres;1995;1073
01;Álava/Araba;Hombres;1994;1032
01;Álava/Araba;Hombres;1993;1145
01;Álava/Araba;Hombres;1992;1156
01;Álava/Araba;Hombres;1991;1187
