Sexo;Edad;Provincias;Periodo;Total
Ambos sexos;Total;04 Almería;1 de enero de 1976;393.691,373578
Ambos sexos;Total;04 Almería;1 de enero de 1975;390.688,22553
Ambos sexos;Total;04 Almería;1 de enero de 1974;387.553,306178
Ambos sexos;Total;04 Almería;1 de enero de 1973;384.279,545076
Ambos sexos;Total;04 Almería;1 de enero de 1972;380.879,843092
Ambos sexos;Total;04 Almería;1 de enero de 1971;377.637,1
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2022;329.797,624868
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2021;329.757,659719
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2020;329.872,997656
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2019;327.682,473603
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2018;325.739,243501
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2017;323.812,29049
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2016;321.803,829149
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2015;320.663,352688
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2014;319.894,997215
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2013;319.927,447896
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2012;320.566,288364
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2011;319.845,929069
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2010;317.737,066428
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2009;315.279,681403
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2008;310.944,310578
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2007;306.475,492101
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2006;302.480,776559
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2005;298.830,334945
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2004;294.303,579068
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2003;290.746,104396
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2002;286.649,802534
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2001;285.197,534407
Ambos sexos;Total;01 Araba/Álava;1 de enero de 2000;283.794,975699
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1999;282.636,507902
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1998;281.402,510687
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1997;280.128,252605
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1996;278.897,270386
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1995;277.795,288168
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1994;276.637,647411
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1993;275.211,623676
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1992;273.726,109375
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1991;272.499,126229
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1990;272.041,10959
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1989;271.300,048536
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1988;270.297,321792
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1987;269.125,275222
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1986;267.831,748653
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1985;266.265,231865
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1984;264.409,502488
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1983;262.346,001214
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1982;260.059,042485
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1981;257.105,006679
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1980;251.849,728596
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1979;246.439,095258
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1978;240.769,648764
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1977;234.979,720779
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1976;229.030,569784
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1975;223.027,623964
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1974;217.046,895812
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1973;211.226,793311
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1972;205.372,176784
Ambos sexos;Total;01 Araba/Álava;1 de enero de 1971;199.775,67
Ambos sexos;Total;33 Asturias;1 de enero de 2022;1.006.234,077838
Ambos sexos;Total;33 Asturias;1 de enero de 2021;1.012.888,701348
Ambos sexos;Total;33 Asturias;1 de enero de 2020;1.018.899,172164
Ambos sexos;Total;33 Asturias;1 de enero de 2019;1.022.205,164301
Ambos sexos;Total;33 Asturias;1 de enero de 2018;1.027.624,311445
Ambos sexos;Total;33 Asturias;1 de enero de 2017;1.034.277,458784
Ambos sexos;Total;33 Asturias;1 de enero de 2016;1.040.924,87917
Ambos sexos;Total;33 Asturias;1 de enero de 2015;1.049.874,615766
Ambos sexos;Total;33 Asturias;1 de enero de 2014;1.058.975,03032
Ambos sexos;Total;33 Asturias;1 de enero de 2013;1.067.801,715597
Ambos sexos;Total;33 Asturias;1 de enero de 2012;1.074.303,918876
Ambos sexos;Total;33 Asturias;1 de enero de 2011;1.075.877,09441
Ambos sexos;Total;33 Asturias;1 de enero de 2010;1.077.103,046143
Ambos sexos;Total;33 Asturias;1 de enero de 2009;1.076.279,618864
Ambos sexos;Total;33 Asturias;1 de enero de 2008;1.071.081,353461
Ambos sexos;Total;33 Asturias;1 de enero de 2007;1.065.291,113191
Ambos sexos;Total;33 Asturias;1 de enero de 2006;1.063.487,78836
Ambos sexos;Total;33 Asturias;1 de enero de 2005;1.062.755,29413
Ambos sexos;Total;33 Asturias;1 de enero de 2004;1.062.407,746334
Ambos sexos;Total;33 Asturias;1 de enero de 2003;1.062.319,58674
Ambos sexos;Total;33 Asturias;1 de enero de 2002;1.062.796,210832
Ambos sexos;Total;33 Asturias;1 de enero de 2001;1.064.850,942712
Ambos sexos;Total;33 Asturias;1 de enero de 2000;1.068.287,273965
Ambos sexos;Total;33 Asturias;1 de enero de 1999;1.072.218,60522
Ambos sexos;Total;33 Asturias;1 de enero de 1998;1.076.012,171768
Ambos sexos;Total;33 Asturias;1 de enero de 1997;1.079.198,39049
Ambos sexos;Total;33 Asturias;1 de enero de 1996;1.082.713,505765
Ambos sexos;Total;33 Asturias;1 de enero de 1995;1.086.001,135323
Ambos sexos;Total;33 Asturias;1 de enero de 1994;1.088.497,277077
Ambos sexos;Total;33 Asturias;1 de enero de 1993;1.091.115,886917
Ambos sexos;Total;33 Asturias;1 de enero de 1992;1.092.873,515625
Ambos sexos;Total;33 Asturias;1 de enero de 1991;1.095.557,203488
Ambos sexos;Total;33 Asturias;1 de enero de 1990;1.102.848,975231
Ambos sexos;Total;33 Asturias;1 de enero de 1989;1.109.330,583302
Ambos sexos;Total;33 Asturias;1 de enero de 1988;1.115.044,603716
Ambos sexos;Total;33 Asturias;1 de enero de 1987;1.119.510,501504
Ambos sexos;Total;33 Asturias;1 de enero de 1986;1.122.981,096394
Ambos sexos;Total;33 Asturias;1 de enero de 1985;1.126.354,513273
Ambos sexos;Total;33 Asturias;1 de enero de 1984;1.128.561,318855
Ambos sexos;Total;33 Asturias;1 de enero de 1983;1.129.916,868114
Ambos sexos;Total;33 Asturias;1 de enero de 1982;1.130.500,192883
Ambos sexos;Total;33 Asturias;1 de enero de 1981;1.128.756,347258
Ambos sexos;Total;33 Asturias;1 de enero de 1980;1.123.163,079576
Ambos sexos;Total;33 Asturias;1 de enero de 1979;1.116.857,745298
Ambos sexos;Total;33 Asturias;1 de enero de 1978;1.109.882,7254
Ambos sexos;Total;33 Asturias;1 de enero de 1977;1.102.125,016169
Ambos sexos;Total;33 Asturias;1 de enero de 1976;1.093.550,424085
Ambos sexos;Total;33 Asturias;1 de enero de 1975;1.085.361,254057
Ambos sexos;Total;33 Asturias;1 de enero de 1974;1.077.056,727238
Ambos sexos;Total;33 Asturias;1 de enero de 1973;1.069.074,954685
Ambos sexos;Total;33 Asturias;1 de enero de 1972;1.060.233,015404
Ambos sexos;Total;33 Asturias;1 de enero de 1971;1.052.038,68
Ambos sexos;Total;05 Ávila;1 de enero de 2022;159.036,874708
Ambos sexos;Total;05 Ávila;1 de enero de 2021;158.854,125984
Ambos sexos;Total;05 Ávila;1 de enero de 2020;158.895,358512
Ambos sexos;Total;05 Ávila;1 de enero de 2019;159.259,566436
Ambos sexos;Total;05 Ávila;1 de enero de 2018;160.032,411122
Ambos sexos;Total;05 Ávila;1 de enero de 2017;161.748,714731
Ambos sexos;Total;05 Ávila;1 de enero de 2016;163.650,309878
Ambos sexos;Total;05 Ávila;1 de enero de 2015;165.740,830856
Ambos sexos;Total;05 Ávila;1 de enero de 2014;167.331,383575
Ambos sexos;Total;05 Ávila;1 de enero de 2013;169.457,899447
Ambos sexos;Total;05 Ávila;1 de enero de 2012;171.365,415375
Ambos sexos;Total;05 Ávila;1 de enero de 2011;172.770,737039
Ambos sexos;Total;05 Ávila;1 de enero de 2010;173.370,287092
Ambos sexos;Total;05 Ávila;1 de enero de 2009;173.817,840308
Ambos sexos;Total;05 Ávila;1 de enero de 2008;173.290,110158
Ambos sexos;Total;05 Ávila;1 de enero de 2007;170.206,164921
Ambos sexos;Total;05 Ávila;1 de enero de 2006;167.949,946596
Ambos sexos;Total;05 Ávila;1 de enero de 2005;166.165,532843
Ambos sexos;Total;05 Ávila;1 de enero de 2004;164.650,656475
Ambos sexos;Total;05 Ávila;1 de enero de 2003;163.548,751119
Ambos sexos;Total;05 Ávila;1 de enero de 2002;163.203,718965
Ambos sexos;Total;05 Ávila;1 de enero de 2001;164.464,909215
Ambos sexos;Total;05 Ávila;1 de enero de 2000;165.615,400272
Ambos sexos;Total;05 Ávila;1 de enero de 1999;166.790,164058
Ambos sexos;Total;05 Ávila;1 de enero de 1998;168.107,751372
Ambos sexos;Total;05 Ávila;1 de enero de 1997;169.194,729989
Ambos sexos;Total;05 Ávila;1 de enero de 1996;170.223,881024
Ambos sexos;Total;05 Ávila;1 de enero de 1995;171.183,31777
Ambos sexos;Total;05 Ávila;1 de enero de 1994;172.130,632565
Ambos sexos;Total;05 Ávila;1 de enero de 1993;172.921,245233
Ambos sexos;Total;05 Ávila;1 de enero de 1992;173.775,59375
Ambos sexos;Total;05 Ávila;1 de enero de 1991;174.731,570255
Ambos sexos;Total;05 Ávila;1 de enero de 1990;176.092,991765
Ambos sexos;Total;05 Ávila;1 de enero de 1989;177.330,999491
Ambos sexos;Total;05 Ávila;1 de enero de 1988;178.517,600209
Ambos sexos;Total;05 Ávila;1 de enero de 1987;179.545,915495
Ambos sexos;Total;05 Ávila;1 de enero de 1986;180.473,317782
Ambos sexos;Total;05 Ávila;1 de enero de 1985;181.292,717741
Ambos sexos;Total;05 Ávila;1 de enero de 1984;181.995,953968
Ambos sexos;Total;05 Ávila;1 de enero de 1983;182.687,303135
Ambos sexos;Total;05 Ávila;1 de enero de 1982;183.216,70136
Ambos sexos;Total;05 Ávila;1 de enero de 1981;184.061,808081
Ambos sexos;Total;05 Ávila;1 de enero de 1980;186.495,52028
Ambos sexos;Total;05 Ávila;1 de enero de 1979;189.078,753765
Ambos sexos;Total;05 Ávila;1 de enero de 1978;191.776,437233
Ambos sexos;Total;05 Ávila;1 de enero de 1977;194.591,108849
Ambos sexos;Total;05 Ávila;1 de enero de 1976;197.467,253393
Ambos sexos;Total;05 Ávila;1 de enero de 1975;200.348,211871
Ambos sexos;Total;05 Ávila;1 de enero de 1974;203.194,955225
