Codigo;Provincias;Sexo;Periodo;Total
03;Alicante/Alacant;Hombres;1991;5665
03;Alicante/Alacant;Hombres;1990;5593
03;Alicante/Alacant;Hombres;1989;5464
03;Alicante/Alacant;Hombres;1988;5434
03;Alicante/Alacant;Hombres;1987;5084
03;Alicante/Alacant;Hombres;1986;5033
03;Alicante/Alacant;Hombres;1985;5087
03;Alicante/Alacant;Hombres;1984;4771
03;Alicante/Alacant;Hombres;1983;4807
03;Alicante/Alacant;Hombres;1982;4801
03;Alicante/Alacant;Hombres;1981;4761
03;Alicante/Alacant;Hombres;1980;4760
03;Alicante/Alacant;Hombres;1979;4852
03;Alicante/Alacant;Hombres;1978;4773
03;Alicante/Alacant;Hombres;1977;4763
03;Alicante/Alacant;Hombres;1976;4785
03;Alicante/Alacant;Hombres;1975;4769
03;Alicante/Alacant;Mujeres;2021;8616
03;Alicante/Alacant;Mujeres;2020;8174
03;Alicante/Alacant;Mujeres;2019;7450
03;Alicante/Alacant;Mujeres;2018;7770
03;Alicante/Alacant;Mujeres;2017;7604
03;Alicante/Alacant;Mujeres;2016;7245
03;Alicante/Alacant;Mujeres;2015;7542
03;Alicante/Alacant;Mujeres;2014;7123
03;Alicante/Alacant;Mujeres;2013;6931
03;Alicante/Alacant;Mujeres;2012;7108
03;Alicante/Alacant;Mujeres;2011;6714
03;Alicante/Alacant;Mujeres;2010;6584
03;Alicante/Alacant;Mujeres;2009;6395
03;Alicante/Alacant;Mujeres;2008;6314
03;Alicante/Alacant;Mujeres;2007;6295
03;Alicante/Alacant;Mujeres;2006;6107
03;Alicante/Alacant;Mujeres;2005;6326
03;Alicante/Alacant;Mujeres;2004;6033
03;Alicante/Alacant;Mujeres;2003;6297
03;Alicante/Alacant;Mujeres;2002;5734
03;Alicante/Alacant;Mujeres;2001;5715
03;Alicante/Alacant;Mujeres;2000;5494
03;Alicante/Alacant;Mujeres;1999;5591
03;Alicante/Alacant;Mujeres;1998;5436
03;Alicante/Alacant;Mujeres;1997;5233
03;Alicante/Alacant;Mujeres;1996;5109
03;Alicante/Alacant;Mujeres;1995;5034
03;Alicante/Alacant;Mujeres;1994;5013
03;Alicante/Alacant;Mujeres;1993;5042
03;Alicante/Alacant;Mujeres;1992;4704
03;Alicante/Alacant;Mujeres;1991;4796
03;Alicante/Alacant;Mujeres;1990;4927
03;Alicante/Alacant;Mujeres;1989;4914
03;Alicante/Alacant;Mujeres;1988;4793
03;Alicante/Alacant;Mujeres;1987;4463
03;Alicante/Alacant;Mujeres;1986;4551
03;Alicante/Alacant;Mujeres;1985;4301
03;Alicante/Alacant;Mujeres;1984;4072
03;Alicante/Alacant;Mujeres;1983;4410
03;Alicante/Alacant;Mujeres;1982;4319
03;Alicante/Alacant;Mujeres;1981;4294
03;Alicante/Alacant;Mujeres;1980;4268
03;Alicante/Alacant;Mujeres;1979;4305
03;Alicante/Alacant;Mujeres;1978;4480
03;Alicante/Alacant;Mujeres;1977;4231
03;Alicante/Alacant;Mujeres;1976;4281
03;Alicante/Alacant;Mujeres;1975;4268
04;Almería;Total;2021;6203
04;Almería;Total;2020;5698
04;Almería;Total;2019;5270
04;Almería;Total;2018;5543
04;Almería;Total;2017;5206
04;Almería;Total;2016;4969
04;Almería;Total;2015;5307
04;Almería;Total;2014;4764
04;Almería;Total;2013;4737
04;Almería;Total;2012;4948
04;Almería;Total;2011;4759
04;Almería;Total;2010;4579
